"id","home_team_points","away_team_points","year","week_number","away_team_id","home_team_id"
219,34,21,2002,15,"Redskins","Eagles"
220,31,24,2002,15,"Chiefs","Broncos"
221,14,20,2002,15,"Packers","49ers"
222,37,7,2002,15,"Cowboys","Giants"
223,30,28,2002,15,"Cardinals","Rams"
224,24,7,2002,15,"Patriots","Titans"
225,20,17,2002,16,"Dolphins","Vikings"
226,14,17,2002,16,"49ers","Cardinals"
227,3,27,2002,16,"Eagles","Cowboys"
228,10,28,2002,16,"Titans","Jaguars"
229,24,14,2002,16,"Bears","Panthers"
230,24,22,2002,16,"Chargers","Chiefs"
231,10,0,2002,16,"Bills","Packers"
232,36,15,2002,16,"Lions","Falcons"
233,27,44,2002,16,"Giants","Colts"
234,20,13,2002,16,"Saints","Bengals"
235,26,10,2002,16,"Texans","Redskins"
236,30,10,2002,16,"Rams","Seahawks"
237,13,14,2002,16,"Browns","Ravens"
238,28,16,2002,16,"Broncos","Raiders"
239,17,30,2002,16,"Jets","Patriots"
240,7,17,2002,16,"Steelers","Buccaneers"
241,10,7,2002,17,"Eagles","Giants"
242,24,0,2002,17,"Chiefs","Raiders"
243,6,10,2002,17,"Panthers","Saints"
244,27,9,2002,17,"Bengals","Bills"
245,24,16,2002,17,"Falcons","Browns"
246,3,13,2002,17,"Titans","Texans"
247,34,31,2002,17,"Ravens","Steelers"
248,36,38,2002,17,"Vikings","Lions"
249,27,24,2002,17,"Dolphins","Patriots"
250,20,14,2002,17,"Cowboys","Redskins"
251,20,13,2002,17,"Jaguars","Colts"
252,37,7,2002,17,"Cardinals","Broncos"
253,28,31,2002,17,"Seahawks","Chargers"
254,42,17,2002,17,"Packers","Jets"
255,0,15,2002,17,"Buccaneers","Bears"
256,31,20,2002,17,"49ers","Rams"
257,16,13,2003,1,"Jets","Redskins"
258,25,30,2003,1,"Vikings","Packers"
259,23,13,2003,1,"Rams","Giants"
260,31,0,2003,1,"Patriots","Bills"
261,27,14,2003,1,"Chargers","Chiefs"
262,24,23,2003,1,"Jaguars","Panthers"
263,20,21,2003,1,"Texans","Dolphins"
264,34,15,2003,1,"Ravens","Steelers"
265,6,9,2003,1,"Colts","Browns"
266,42,24,2003,1,"Cardinals","Lions"
267,10,30,2003,1,"Broncos","Bengals"
268,13,27,2003,1,"Falcons","Cowboys"
269,27,10,2003,1,"Saints","Seahawks"
270,49,7,2003,1,"Bears","49ers"
271,25,20,2003,1,"Raiders","Titans"
272,0,17,2003,1,"Buccaneers","Eagles"
273,17,38,2003,2,"Bills","Jaguars"
274,33,13,2003,2,"Browns","Ravens"
275,31,33,2003,2,"Redskins","Falcons"
276,33,7,2003,2,"Titans","Colts"
277,27,24,2003,2,"49ers","Rams"
278,41,20,2003,2,"Steelers","Chiefs"
279,10,21,2003,2,"Dolphins","Jets"
280,31,10,2003,2,"Texans","Saints"
281,31,6,2003,2,"Lions","Packers"
282,0,38,2003,2,"Seahawks","Cardinals"
283,9,12,2003,2,"Panthers","Buccaneers"
284,10,31,2003,2,"Patriots","Eagles"
285,13,37,2003,2,"Broncos","Chargers"
286,23,20,2003,2,"Bengals","Raiders"
287,24,13,2003,2,"Bears","Vikings"
288,32,35,2003,2,"Cowboys","Giants"
289,14,42,2003,3,"Chiefs","Texans"
290,23,13,2003,3,"Jaguars","Colts"
291,10,31,2003,3,"Buccaneers","Falcons"
292,10,17,2003,3,"Steelers","Bengals"
293,13,23,2003,3,"Vikings","Lions"
294,27,12,2003,3,"Saints","Titans"
295,23,16,2003,3,"Jets","Patriots"
296,24,23,2003,3,"Rams","Seahawks"
297,21,24,2003,3,"Giants","Redskins"
298,20,13,2003,3,"Packers","Cardinals"
299,10,24,2003,3,"Ravens","Chargers"
300,12,13,2003,3,"Browns","49ers"
301,17,7,2003,3,"Bills","Dolphins"
302,31,10,2003,3,"Raiders","Broncos"
303,20,17,2003,4,"Patriots","Redskins"
304,13,30,2003,4,"Titans","Steelers"
305,13,23,2003,4,"Eagles","Bills"
306,14,21,2003,4,"Bengals","Browns"
307,37,13,2003,4,"Cardinals","Rams"
308,35,7,2003,4,"49ers","Vikings"
309,24,20,2003,4,"Jaguars","Texans"
310,10,17,2003,4,"Chiefs","Ravens"
311,34,31,2003,4,"Chargers","Raiders"
312,6,17,2003,4,"Cowboys","Jets"
313,23,3,2003,4,"Falcons","Panthers"
314,20,16,2003,4,"Lions","Broncos"
315,21,55,2003,4,"Colts","Saints"
316,23,38,2003,4,"Packers","Bears"
317,35,13,2003,5,"Seahawks","Packers"
318,24,23,2003,5,"Broncos","Chiefs"
319,26,39,2003,5,"Vikings","Falcons"
320,24,21,2003,5,"Raiders","Bears"
321,19,13,2003,5,"Saints","Panthers"
322,38,30,2003,5,"Titans","Patriots"
323,24,7,2003,5,"Cardinals","Cowboys"
324,22,16,2003,5,"Bengals","Bills"
325,10,23,2003,5,"Dolphins","Giants"
326,27,21,2003,5,"Chargers","Jaguars"
327,27,25,2003,5,"Redskins","Eagles"
328,24,17,2003,5,"Lions","49ers"
329,13,33,2003,5,"Browns","Steelers"
330,35,38,2003,5,"Colts","Buccaneers"
